"P-Strategy","S13","H13","S14","H14","S15","H15","S16","H16","S17","H17","S18","H18","S19","H19","S20","H20"
"P-S13","44.9","43.5","44.0","43.1","42.3","39.5","42.7","44.0","46.5","48.2","50.9","48.8","58.3","57.4","69.6","71.7"
"P-H13","44.3","45.5","43.6","42.0","41.8","39.3","41.0","43.1","45.4","45.3","52.2","48.8","61.0","61.6","69.5","68.5"
"P-S14","46.7","46.9","43.7","40.7","40.0","41.9","44.3","42.0","43.6","43.1","48.1","49.0","58.3","58.0","63.6","65.8"
"P-H14","47.7","46.0","40.5","45.5","43.1","42.1","43.3","42.0","43.6","42.9","45.2","51.0","56.3","55.6","65.5","67.9"
"P-S15","47.2","48.3","45.5","45.0","42.0","42.9","40.4","42.2","43.3","41.2","44.3","43.6","52.4","51.4","59.4","62.4"
"P-H15","50.6","48.6","47.3","44.7","43.5","42.4","42.4","39.9","42.4","45.3","46.1","44.7","51.6","51.0","59.9","61.8"
"P-S16","43.4","48.1","45.1","45.2","44.5","40.2","42.6","40.0","43.8","39.8","41.6","42.3","45.8","47.2","54.9","52.8"
"P-H16","47.6","48.1","46.4","45.7","43.2","42.9","42.5","39.0","41.9","40.5","40.4","41.7","49.1","47.3","54.2","58.0"
"P-S17","41.5","42.8","43.4","43.5","40.5","39.1","38.4","39.5","40.2","35.8","39.6","35.7","37.6","41.7","45.5","47.9"
"P-H17","44.9","43.7","40.4","41.1","36.9","38.8","39.3","39.1","36.7","36.1","38.0","36.3","39.7","39.6","48.8","45.4"
"P-S18","37.2","37.9","38.5","35.7","37.2","33.9","34.0","31.8","36.0","34.3","32.4","33.9","35.2","33.9","40.8","39.0"
"P-H18","38.4","37.7","34.1","38.6","35.1","34.5","35.9","31.4","35.8","34.3","34.5","32.5","33.2","31.3","38.2","36.8"
"P-S19","28.0","32.4","29.3","30.1","27.2","30.3","28.9","27.3","29.5","27.0","24.0","27.3","24.2","24.6","27.9","29.4"
"P-H19","29.5","26.8","30.0","29.5","28.4","28.4","27.8","27.0","26.5","27.2","26.0","24.3","24.2","26.7","28.1","26.7"
"P-S20","17.8","18.1","18.8","18.9","18.0","20.6","19.9","18.1","17.5","18.9","16.2","20.7","17.3","17.7","16.4","18.6"
"P-H20","19.3","16.8","15.9","18.7","17.3","17.9","19.0","13.5","17.1","14.8","17.6","15.4","16.4","15.9","15.4","16.7"
